On macOS, `uname -s` is "Darwin".
Whereas `sw_vers` prints the macOS version.

Here's the correspondance between Darwin versions and macOS versions,
taken from
https://en.wikipedia.org/w/index.php?title=Darwin_(operating_system)&oldid=1228277473
and other Wikipedia pages.


Darwin version   Date         macOS version
--------------   ----------   -------------

1.3.1            2001-04-13   10.0

1.4.1            2001-10-02   10.1
5.1              2001-11-12   10.1.1
5.5              2002-06-05   10.1.5

6.0.1            2002-09-23   10.2.0
6.8              2003-10-03   10.2.8

7.0              2003-10-24   10.3.0
7.9              2005-04-15   10.3.9

8.0              2005-04-29   10.4.0
8.11             2007-11-14   10.4.11

9.0              2007-10-26   10.5.0
9.8              2009-08-05   10.5.8

10.0             2009-08-28   10.6.0
10.8             2011-06-23   10.6.8

11.0.0           2011-07-20   10.7.0
11.4.2           2012-10-04   10.7.5

12.0.0           2012-02-16   10.8.0
12.6.0           2015-01-27   10.8.5

13.0.0           2013-06-11   10.9.0
13.4.0           2014-09-17   10.9.5

14.0.0           2014-09-18   10.10.0
14.5.0           2015-08-13   10.10.5

15.0.0           2015-09-16   10.11.0
15.6.0           2016-07-18   10.11.6

16.0.0           2016-09-13   10.12.0
16.5.0           2017-03-27   10.12.4
16.6.0           2017-07-19   10.12.6

17.0.0           2017-09-19   10.13.0
17.5.0           2018-03-29   10.13.4
17.6.0           2018-06-01   10.13.5
17.7.0           2018-07-09   10.13.6

18.0.0           2018-09-24   10.14.0
18.2.0           2018-10-30   10.14.1

19.0.0           2019-09-19   10.15.0
19.2.0           2019-12-10   10.15.2
19.3.0           2020-01-28   10.15.3
19.4.0           2020-03-24
19.5.0           2020-04-30   10.15.5
19.6.0           2020-06-01   10.15.6 beta 2

                              See https://en.wikipedia.org/wiki/MacOS_Big_Sur#Release_history
20.0.0           2020-06-22   11.0 beta 1
20.1.0           2020-09-03   11.0
20.2.0           2020-11-12   11.1
20.3.0           2021-02-01   11.2
20.4.0           2021-04-20   11.3
20.5.0           2021-05-24   11.4
20.6.0           2021-07-21   11.5 .. 11.7.10

                              See https://en.wikipedia.org/wiki/MacOS_Monterey#Release_history
21.0.0           2021-06-07   12.0 beta 1
21.0.1           2021-10-25   12.0
21.1.0           2021-10-25   12.0.1
21.2.0           2021-12-07   12.1
21.3.0           2022-01-26   12.2
21.4.0           2022-03-14   12.3
21.5.0           2022-06-24   12.4
21.6.0           2022-07-20   12.5 .. 12.7.x

                              See https://en.wikipedia.org/wiki/MacOS_Ventura#Release_history
22.0.0           2022-06-06   13.0 beta 1
22.1.0           2022-10-24   13.0
22.2.0           2022-12-13   13.1
22.3.0           2023-01-23   13.2
22.4.0           2023-03-27   13.3
22.5.0           2023-05-18   13.4
22.6.0           2023-07-24   13.5 .. 13.6.x

                              See https://en.wikipedia.org/wiki/MacOS_Sonoma#Release_history
23.0.0           2023-09-18   14.0
23.1.0           2023-10-25   14.1
23.2.0           2023-11-15   14.2
23.3.0           2024-01-22   14.3
23.4.0           2024-03-24   14.4
23.5.0           2024-05-13   14.5
